FID,wkb_geometry,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.158,POINT (12.55269544431609 55.69752870759466),810,1204,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,92,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.159,POINT (12.553593793502596 55.69832548650879),811,1205,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,106,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.160,POINT (12.553115869489893 55.69829228351244),812,1206,Betalingsautomat,3332,BLÅ,IN,JAGTVEJ,137,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.161,POINT (12.554465760911356 55.698063454641634),813,1207,Betalingsautomat,2404,BLÅ,IN,GULDBERGSGADE,122,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.162,POINT (12.554492809863417 55.69724844591284),814,1208,Betalingsautomat,2412,BLÅ,IN,GULDBERGS PLADS,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.163,POINT (12.554441287083737 55.696700148267745),815,1209,Betalingsautomat,2412,BLÅ,IN,GULDBERGS PLADS,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.164,POINT (12.553065058451551 55.6966181941022),816,1210,Betalingsautomat,2404,BLÅ,IN,GULDBERGSGADE,101,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.165,POINT (12.55555677078288 55.69495780185439),852,1243,Betalingsautomat,6408,BLÅ,IN,SJÆLLANDSGADE,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.166,POINT (12.556491100410758 55.69539172556189),853,1244,Betalingsautomat,6408,BLÅ,IN,SJÆLLANDSGADE,38,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.167,POINT (12.557935552602181 55.69609753471379),854,1245,Betalingsautomat,6408,BLÅ,IN,SJÆLLANDSGADE,55,,2000173,2010-03-01T00:00:00,2013-01-29T00:00:00
parkomat.168,POINT (12.559490594946459 55.696429762256),855,1246,Betalingsautomat,6408,BLÅ,IN,SJÆLLANDSGADE,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.169,POINT (12.558059964364155 55.69740253006472),858,1249,Betalingsautomat,7336,BLÅ,IN,TAGENSVEJ,15,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.170,POINT (12.556700278244602 55.69791044898089),859,1250,Betalingsautomat,7336,BLÅ,IN,TAGENSVEJ,23,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.171,POINT (12.555433066940816 55.698422349039944),861,1251,Betalingsautomat,7336,BLÅ,IN,TAGENSVEJ,33,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
